sample,time,temp1,val1,val2,val3,
103,451.5213,24.070,+1.05906124E+01,1.05907666E+01,+2.02690000E-02,
104,455.9210,24.070,+1.05906120E+01,1.05907657E+01,+2.02690000E-02,
105,460.3219,24.094,+1.05906115E+01,1.05907655E+01,+2.04000000E-02,
106,464.7197,24.094,+1.05906117E+01,1.05907648E+01,+2.02690000E-02,
107,469.1207,24.094,+1.05906118E+01,1.05907653E+01,+2.02690000E-02,
108,473.5166,24.094,+1.05906121E+01,1.05907668E+01,+2.02690000E-02,
109,477.9148,24.117,+1.05906118E+01,1.05907665E+01,+2.02690000E-02,
110,482.3128,24.117,+1.05906119E+01,1.05907660E+01,+2.02690000E-02,
111,486.7115,24.117,+1.05906127E+01,1.05907679E+01,+2.04000000E-02,
112,491.1100,24.117,+1.05906123E+01,1.05907670E+01,+2.04000000E-02,
113,495.5084,24.117,+1.05906128E+01,1.05907694E+01,+2.04000000E-02,
114,499.9071,24.117,+1.05906119E+01,1.05907694E+01,+2.04000000E-02,
115,504.3063,24.117,+1.05906125E+01,1.05907684E+01,+2.04000000E-02,
116,508.7054,24.117,+1.05906111E+01,1.05907690E+01,+2.04000000E-02,
117,513.1050,24.117,+1.05906116E+01,1.05907684E+01,+2.04000000E-02,
118,517.5042,24.117,+1.05906113E+01,1.05907675E+01,+2.04000000E-02,
119,521.9043,24.117,+1.05906114E+01,1.05907670E+01,+2.02690000E-02,
120,526.3027,24.117,+1.05906119E+01,1.05907681E+01,+2.02690000E-02,
121,530.7023,24.102,+1.05906121E+01,1.05907672E+01,+2.04000000E-02,
122,535.1040,24.102,+1.05906123E+01,1.05907679E+01,+2.02690000E-02,
123,539.5067,24.102,+1.05906122E+01,1.05907684E+01,+2.04000000E-02,
124,543.9059,24.102,+1.05906128E+01,1.05907696E+01,+2.04000000E-02,
125,548.3081,24.094,+1.05906131E+01,1.05907675E+01,+2.04000000E-02,
126,552.7099,24.094,+1.05906119E+01,1.05907684E+01,+2.04000000E-02,
127,557.1118,24.094,+1.05906121E+01,1.05907673E+01,+2.04000000E-02,
128,561.5134,24.094,+1.05906117E+01,1.05907694E+01,+2.04000000E-02,
129,565.9150,24.086,+1.05906120E+01,1.05907680E+01,+2.04000000E-02,
130,570.3163,24.086,+1.05906126E+01,1.05907687E+01,+2.02690000E-02,
131,574.7168,24.086,+1.05906130E+01,1.05907701E+01,+2.04000000E-02,
132,579.1184,24.086,+1.05906134E+01,1.05907692E+01,+2.04000000E-02,
133,583.5193,24.078,+1.05906128E+01,1.05907698E+01,+2.04000000E-02,
